일시,평균습도(%rh),최저습도(%rh)
2016-03-30,81.1,47
2016-03-31,45.5,15
2016-04-01,41.9,20
2016-04-02,62,38
2016-04-03,81.3,37
2016-04-04,58.1,27
2016-04-05,75.4,38
2016-04-06,60.8,28
2016-04-07,83,46
2016-04-08,97,79
2016-04-09,98,98
2016-04-10,92.5,47
2016-04-11,64.9,40
2016-04-12,64.8,38
2016-04-13,92.5,58
2016-04-14,98,97
2016-04-15,71.9,39
2016-04-16,74.3,36
2016-04-17,89.9,71
2016-04-18,88,44
2016-04-19,84.5,58
2016-04-20,77.5,31
2016-04-21,98,96
2016-04-22,98,94
2016-04-23,75.6,26
2016-04-24,56.1,28
2016-04-25,52.6,15
2016-04-26,52.6,28
2016-04-27,46.1,26
2016-04-28,59.6,31
2016-04-29,82.5,52
2016-04-30,67.1,53
2016-05-01,59.3,38
2016-05-02,81.1,47
2016-05-03,96.8,90
2016-05-04,61.4,40
2016-05-05,64.4,20
2016-05-06,98,87
2016-05-07,80.8,55
2016-05-08,65.9,36
2016-05-09,73.1,41
2016-05-10,96.3,73
2016-05-11,83.4,59
2016-05-12,90.6,72
2016-05-13,68.9,40
2016-05-14,63,30
2016-05-15,87.8,56
2016-05-16,79.1,52
2016-05-17,72.4,32
2016-05-18,58.1,34
2016-05-19,50.6,23
2016-05-20,62.9,39
2016-05-21,36,17
2016-05-22,43.5,31
2016-05-23,67.6,40
2016-05-24,98,73
2016-05-25,94.8,83
2016-05-26,96.9,86
2016-05-27,89.6,55
2016-05-28,80.4,42
2016-05-29,86.3,44
2016-05-30,85.5,64
2016-05-31,93.1,80
2016-06-01,66.3,39
2016-06-02,66.6,46
2016-06-03,71.8,44
2016-06-04,83.1,54
2016-06-05,69,43
2016-06-06,72,49
2016-06-07,91.8,70
2016-06-08,97.3,87
2016-06-09,85.6,62
2016-06-10,88.9,62
2016-06-11,95.6,82
2016-06-12,98,96
2016-06-13,95.6,83
2016-06-14,91.8,62
2016-06-15,96.1,83
2016-06-16,97.5,91
2016-06-17,89.4,65
2016-06-18,93.1,77
2016-06-19,93,78
2016-06-20,92.5,67
2016-06-21,93.3,75
2016-06-22,95.1,79
2016-06-23,95.1,85
2016-06-24,93.4,75
2016-06-25,86,54
2016-06-26,87,56
2016-06-27,81.5,45
2016-06-28,91.3,49
2016-06-29,88,60
2016-06-30,98,97
2016-07-01,98,98
2016-07-02,97.3,89
2016-07-03,95.9,75
2016-07-04,97,85
2016-07-05,98,98
2016-07-06,97.5,88
2016-07-07,91,72
2016-07-08,90.5,69
2016-07-09,89.1,60
2016-07-10,92.5,72
